Number,Date,Teams,Sets,Result per set (points),Result per set (points).1,Result per set (points).2,Result per set (points).3,Result per set (points).4,Points,Time,Audience,MatchNumber,City
Number,Date,Teams,Sets,1,2,3,4,5,Points,Time,Audience,,
48,09/06/2019,CAN - SRB,2 - 3,17  - 25,26  - 24,21  - 25,28  - 26,12  - 15,104 - 115,02:20,3596,48,Ottawa
46,09/06/2019,JPN - IRI,0 - 3,22  - 25,21  - 25,19  - 25,-,-,62 - 75,01:34,6000,46,Tokyo
44,09/06/2019,RUS - ITA,3 - 0,29  - 27,25  - 16,25  - 18,-,-,79 - 61,01:20,7600,44,Ufa
42,09/06/2019,CHN - POL,0 - 3,22  - 25,13  - 25,15  - 25,-,-,50 - 75,01:20,6550,42,Ningbo
53,14/06/2019,RUS - POL,3 - 1,24  - 26,25  - 20,25  - 22,25  - 19,-,99 - 87,02:06,3550,53,Urmia
55,14/06/2019,USA - ARG,3 - 1,25  - 22,25  - 19,21  - 25,25  - 21,-,96 - 87,01:59,389,55,Cannes
51,14/06/2019,JPN - ITA,1 - 3,25  - 23,15  - 25,27  - 29,21  - 25,-,88 - 102,02:07,700,51,Varna
49,14/06/2019,BRA - SRB,2 - 3,25  - 17,22  - 25,25  - 17,20  - 25,12  - 15,104 - 99,02:01,2375,49,Gondomar
54,14/06/2019,IRI - CAN,3 - 0,25  - 15,26  - 24,25  - 16,-,-,76 - 55,01:30,4600,54,Urmia
56,14/06/2019,FRA - GER,3 - 1,24  - 26,25  - 20,25  - 19,25  - 20,-,99 - 85,01:58,1150,56,Cannes
52,14/06/2019,BUL - AUS,3 - 2,20  - 25,29  - 27,22  - 25,25  - 21,15  - 13,111 - 111,02:18,3300,52,Varna
50,14/06/2019,POR - CHN,3 - 0,25  - 22,25  - 17,25  - 23,-,-,75 - 62,01:28,4100,50,Gondomar
61,15/06/2019,RUS - CAN,3 - 1,25  - 23,22  - 25,25  - 20,25  - 23,-,97 - 91,01:59,3900,61,Urmia
57,15/06/2019,BRA - CHN,3 - 0,25  - 15,25  - 18,25  - 22,-,-,75 - 55,01:25,2500,57,Gondomar
63,15/06/2019,USA - GER,3 - 1,25  - 22,21  - 25,25  - 19,25  - 20,-,96 - 86,01:57,390,63,Cannes
59,15/06/2019,AUS - ITA,1 - 3,18  - 25,32  - 30,18  - 25,15  - 25,-,83 - 105,02:01,580,59,Varna
62,15/06/2019,IRI - POL,3 - 2,25  - 20,21  - 25,18  - 25,25  - 17,15  - 8,104 - 95,02:34,4600,62,Urmia
58,15/06/2019,POR - SRB,2 - 3,25  - 21,15  - 25,22  - 25,32  - 30,9  - 15,103 - 116,02:21,4400,58,Gondomar
64,15/06/2019,FRA - ARG,1 - 3,18  - 25,17  - 25,25  - 19,20  - 25,-,80 - 94,01:46,1100,64,Cannes
60,15/06/2019,BUL - JPN,2 - 3,25  - 22,19  - 25,25  - 16,19  - 25,19  - 21,107 - 109,02:22,4200,60,Varna
71,16/06/2019,ARG - GER,3 - 2,25  - 19,23  - 25,23  - 25,25  - 23,15  - 10,111 - 102,02:26,550,71,Cannes
65,16/06/2019,CHN - SRB,1 - 3,17  - 25,22  - 25,27  - 25,18  - 25,-,84 - 100,01:51,1600,65,Gondomar
69,16/06/2019,POL - CAN,3 - 1,25  - 20,25  - 27,25  - 20,28  - 26,-,103 - 93,02:05,4200,69,Urmia
67,16/06/2019,JPN - AUS,3 - 2,25  - 18,25  - 27,23  - 25,25  - 22,17  - 15,115 - 107,02:17,400,67,Varna
72,16/06/2019,FRA - USA,1 - 3,25  - 23,22  - 25,26  - 28,25  - 27,-,98 - 103,02:14,1850,72,Cannes
66,16/06/2019,POR - BRA,0 - 3,19  - 25,21  - 25,18  - 25,-,-,58 - 75,01:23,4500,66,Gondomar
70,16/06/2019,IRI - RUS,3 - 0,25  - 20,26  - 24,25  - 23,-,-,76 - 67,01:54,4600,70,Urmia
68,16/06/2019,ITA - BUL,3 - 1,25  - 14,25  - 20,23  - 25,25  - 21,-,98 - 80,01:54,5000,68,Varna
77,21/06/2019,FRA - AUS,3 - 0,25  - 23,25  - 22,25  - 22,-,-,75 - 67,01:16,4500,77,Ardabil
75,21/06/2019,POL - ARG,3 - 2,25  - 21,25  - 23,25  - 27,20  - 25,19  - 17,114 - 113,02:32,1150,75,Milano
79,21/06/2019,GER - RUS,1 - 3,25  - 22,21  - 25,19  - 25,14  - 25,-,79 - 97,01:49,1850,79,Cuiaba
73,21/06/2019,CAN - CHN,3 - 1,25  - 19,25  - 23,22  - 25,25  - 17,-,97 - 84,01:57,1205,73,Hoffman Estates
78,21/06/2019,IRI - POR,3 - 1,23  - 25,27  - 25,25  - 17,25  - 18,-,100 - 85,02:10,6000,78,Ardabil
80,21/06/2019,BRA - BUL,3 - 1,25  - 20,21  - 25,25  - 19,25  - 14,-,96 - 78,01:55,3656,80,Cuiaba
74,21/06/2019,USA - JPN,3 - 0,25  - 15,25  - 19,25  - 19,-,-,75 - 53,01:12,4925,74,Hoffman Estates
76,21/06/2019,ITA - SRB,3 - 0,26  - 24,25  - 19,25  - 22,-,-,76 - 65,01:25,2850,76,Milano
