Rank,ShirtNumber,Name,Spikes,Faults,Shots,Total attempts,Success %,Country
12,16,Drazen Luburic,74,26,44,144,,srb-serbia
13,20,Srecko Lisinac,35,8,13,56,,srb-serbia
14,21,Vuk Todorovic,2,0,6,8,,srb-serbia
15,22,Andrija Vilimanovic,2,0,2,4,,srb-serbia
16,23,Bozidar Vucicevic,94,50,50,194,,srb-serbia
17,24,David Mehic,24,16,20,60,,srb-serbia
18,27,Stefan Kovacevic,3,0,4,7,,srb-serbia
19,28,Danilo Pavlovic,0,0,1,1,,srb-serbia
1,18,Garrett Muagututia,119,49,108,276,43.12,usa-usa
2,1,Matthew Anderson,68,25,40,133,,usa-usa
3,2,Aaron Russell,17,8,15,40,,usa-usa
4,3,Taylor Sander,122,30,70,222,,usa-usa
5,4,Jeffrey Jendryk Ii,49,8,25,82,,usa-usa
6,5,Kyle Ensing,35,12,36,83,,usa-usa
7,6,Mitchell Stahl,25,6,23,54,,usa-usa
8,7,Kawika Shoji,5,1,3,9,,usa-usa
9,8,Torey Defalco,76,31,53,160,,usa-usa
10,9,Jake Langlois,19,2,19,40,,usa-usa
11,11,Micah Christenson,8,6,7,21,,usa-usa
12,12,Maxwell Holt,42,12,32,86,,usa-usa
13,13,Benjamin Patch,141,42,73,256,,usa-usa
14,14,Micah Ma'a,27,11,24,62,,usa-usa
15,16,Joshua Tuaniga,3,1,3,7,,usa-usa
16,17,Thomas Jaeschke,26,10,18,54,,usa-usa
17,19,Taylor Averill,18,4,7,29,,usa-usa
18,20,David Smith,68,11,41,120,,usa-usa
19,25,Kyle Russell,27,14,25,66,,usa-usa
20,30,George Huhmann,20,4,7,31,,usa-usa
